Timestamp,PacketID,RSSI_dBm,Corrente_A,Comando_Pct,TensaoTotal_V,Celulas_N,C1,C2,C3,C4,C5,C6,Corrente_Med_A,Corrente_Min_A,LoopMs,PwmIdleMs
2026-06-01T22_21_04,23210,-45,1.16,0,16.40,4,4.028,4.155,4.107,4.107,0.000,0.000,-0.14,-1.10,19,9
2026-06-01T22_21_04,23211,-44,1.42,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.19,-1.35,19,0
2026-06-01T22_21_04,23212,-44,1.16,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.15,-1.35,19,9
2026-06-01T22_21_04,23213,-41,1.54,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.10,-1.22,19,0
2026-06-01T22_21_04,23214,-41,1.79,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.13,-1.22,19,9
2026-06-01T22_21_04,23215,-46,1.67,0,16.40,4,4.028,4.155,4.106,4.107,0.000,0.000,-0.14,-1.22,19,0
2026-06-01T22_21_04,23216,-46,1.04,0,16.40,4,4.028,4.156,4.106,4.107,0.000,0.000,-0.04,-1.60,19,9
2026-06-01T22_21_04,23217,-50,1.42,0,16.40,4,4.028,4.156,4.105,4.108,0.000,0.000,-0.05,-1.60,19,0
2026-06-01T22_21_04,23218,-50,1.54,0,16.40,4,4.028,4.155,4.106,4.107,0.000,0.000,-0.16,-1.10,19,9
2026-06-01T22_21_04,23219,-51,2.04,0,16.40,4,4.028,4.155,4.106,4.108,0.000,0.000,-0.01,-1.10,19,18
2026-06-01T22_21_04,23220,-51,1.79,0,16.40,4,4.028,4.156,4.105,4.108,0.000,0.000,-0.05,-1.35,19,8
2026-06-01T22_21_04,23221,-51,1.79,0,16.40,4,4.028,4.156,4.106,4.107,0.000,0.000,-0.06,-1.35,19,18
2026-06-01T22_21_04,23222,-51,1.16,0,16.40,4,4.028,4.155,4.106,4.107,0.000,0.000,-0.13,-1.35,19,8
2026-06-01T22_21_04,23223,-47,3.05,0,16.40,4,4.028,4.156,4.106,4.106,0.000,0.000,-0.18,-1.97,19,18
2026-06-01T22_21_04,23224,-47,1.16,0,16.40,4,4.028,4.156,4.105,4.107,0.000,0.000,-0.22,-1.35,19,8
2026-06-01T22_21_04,23225,-47,1.29,0,16.40,4,4.028,4.156,4.105,4.108,0.000,0.000,-0.16,-1.22,19,18
2026-06-01T22_21_04,23226,-47,1.04,0,16.40,4,4.027,4.156,4.106,4.108,0.000,0.000,-0.16,-1.35,19,8
2026-06-01T22_21_04,23227,-45,0.91,0,16.40,4,4.028,4.155,4.105,4.108,0.000,0.000,-0.20,-2.48,19,18
2026-06-01T22_21_05,23228,-45,1.42,0,16.40,4,4.028,4.156,4.105,4.107,0.000,0.000,-0.08,-1.47,19,7
2026-06-01T22_21_05,23229,-44,1.67,0,16.40,4,4.028,4.156,4.105,4.107,0.000,0.000,-0.14,-1.35,19,17
2026-06-01T22_21_05,23230,-44,0.91,0,16.40,4,4.027,4.156,4.105,4.107,0.000,0.000,-0.17,-1.60,19,7
2026-06-01T22_21_05,23231,-47,1.16,0,16.40,4,4.028,4.156,4.105,4.108,0.000,0.000,-0.17,-1.47,19,17
2026-06-01T22_21_05,23232,-47,1.67,1,16.40,4,4.027,4.156,4.106,4.106,0.000,0.000,-0.04,-1.22,19,7
2026-06-01T22_21_05,23233,-49,1.04,0,16.40,4,4.028,4.156,4.105,4.108,0.000,0.000,-0.18,-1.35,19,17
2026-06-01T22_21_05,23234,-49,1.04,2,16.40,4,4.028,4.156,4.105,4.107,0.000,0.000,-0.15,-1.35,19,7
2026-06-01T22_21_05,23235,-49,0.79,0,16.40,4,4.028,4.156,4.105,4.107,0.000,0.000,-0.14,-1.22,19,17
2026-06-01T22_21_05,23236,-46,1.42,0,16.40,4,4.027,4.156,4.106,4.108,0.000,0.000,-0.14,-1.47,19,6
2026-06-01T22_21_05,23237,-46,1.16,0,16.40,4,4.027,4.156,4.105,4.107,0.000,0.000,-0.21,-1.35,19,16
2026-06-01T22_21_05,23238,-47,1.16,3,16.40,4,4.028,4.156,4.105,4.108,0.000,0.000,-0.12,-1.35,19,6
2026-06-01T22_21_05,23239,-47,1.29,0,16.40,4,4.028,4.156,4.105,4.106,0.000,0.000,-0.19,-1.47,19,16
2026-06-01T22_21_05,23240,-46,1.04,0,16.40,4,4.028,4.156,4.105,4.107,0.000,0.000,-0.19,-1.22,19,6
2026-06-01T22_21_05,23241,-46,1.29,0,16.40,4,4.027,4.156,4.106,4.107,0.000,0.000,-0.18,-1.35,19,16
2026-06-01T22_21_05,23242,-48,1.04,3,16.40,4,4.028,4.156,4.106,4.107,0.000,0.000,-0.09,-1.22,19,6
2026-06-01T22_21_05,23243,-48,1.16,0,16.40,4,4.028,4.156,4.105,4.108,0.000,0.000,-0.11,-1.10,19,16
2026-06-01T22_21_05,23244,-48,1.16,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.13,-1.35,19,6
2026-06-01T22_21_05,23245,-48,1.16,0,16.40,4,4.027,4.156,4.106,4.107,0.000,0.000,-0.08,-1.10,19,15
2026-06-01T22_21_05,23246,-49,0.91,0,16.40,4,4.028,4.155,4.106,4.107,0.000,0.000,-0.23,-1.60,19,5
2026-06-01T22_21_05,23247,-49,0.91,0,16.40,4,4.028,4.155,4.107,4.106,0.000,0.000,-0.21,-1.35,19,15
2026-06-01T22_21_06,23248,-49,1.04,0,16.40,4,4.028,4.156,4.106,4.106,0.000,0.000,-0.07,-1.22,19,5
2026-06-01T22_21_06,23249,-49,1.04,0,16.40,4,4.028,4.156,4.106,4.106,0.000,0.000,-0.18,-1.35,19,15
2026-06-01T22_21_06,23250,-51,1.04,3,16.40,4,4.027,4.156,4.106,4.106,0.000,0.000,-0.15,-1.22,19,5
2026-06-01T22_21_06,23251,-51,1.42,0,16.40,4,4.027,4.156,4.106,4.106,0.000,0.000,-0.04,-1.22,19,15
2026-06-01T22_21_06,23252,-50,1.04,0,16.40,4,4.028,4.156,4.106,4.106,0.000,0.000,-0.19,-1.35,19,5
2026-06-01T22_21_06,23253,-50,1.16,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.16,-1.47,19,14
2026-06-01T22_21_06,23254,-49,1.04,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.11,-5.61,19,4
2026-06-01T22_21_06,23255,-49,1.16,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.10,-1.22,19,14
